"Image Id","Image Filename","Image Date Uploaded","Image Date Taken","Image Local Time","Image Width","Image Height","Image Longitude","Image Latitude","Image Tags","Issue Id","Issue Date","Issue Resolved","Issue Severity","Issue Severity Level","Issue Longitude","Issue Latitude","Issue Type Id","Issue Type Name","Issue Type Attribute Key","Issue Type Attribute Value","Issue Component Id","Issue Component Name","Issue Geometry Id","Issue Geometry Date","Issue Geometry","Issue Probability","Issue Width","Issue Height","Issue Temp Min","Issue Temp Max","Issue Temp Avg","Issue Temp Delta","Issue User Id","Issue User","Issue Field Id","Issue Field Date","Issue Field Type","Issue Field","Asset Id","Asset Name","Asset External Id","Scopito Link","Google Maps Link"
25664905,"DJI_20260210133633_0051_T.JPG","2026-02-23T13:01:22.000Z","2026-02-10T16:36:32.000Z","2026:02:10 13:36:32",640,512,-42.15206283,-11.41530836,"SES31/DJI_202602101317_062_ses31rota2/IR",29915121,"2026-02-23T19:13:57.000Z","false","Severity 4","7",-42.15209337297726,-11.4153223629326,10201,"Open Circuit","","",65,"String",29518627,"2026-02-23T19:13:57.000Z","POLYGON((0.519 0.802,0.5631 0.802,0.5631 0.7047,0.519 0.7047,0.519 0.802))","","","","0.557812511920929,0.75390625,61.1","0.550000011920929,0.794921875,68.83",66.49,7.7,2884,"Fordrones01",1721376,"2026-02-24T19:52:31.000Z","COMMENT","TRK-3.1.115 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25664905","https://www.google.com/maps/search/?api=1&query=-11.41530836,-42.15206283"
25667014,"DJI_20260211094613_0081_T.JPG","2026-02-23T14:03:07.000Z","2026-02-11T12:46:13.000Z","2026:02:11 09:46:13",640,512,-42.15248531,-11.41431117,"SES31/DJI_202602110933_001_ses31rota1/IR",29915108,"2026-02-23T18:47:00.000Z","false","Severity 2","3",-42.15251977265761,-11.414274365302362,10216,"Multi Hot Spot","","",70,"Cell",29518616,"2026-02-23T18:46:55.000Z","POLYGON((0.3755 0.733,0.396 0.733,0.396 0.6675,0.3755 0.6675,0.3755 0.733))","","","","0.39375001192092896,0.712890625,40.17","0.3890624940395355,0.724609375,54.08",45.08,13.9,2884,"Fordrones01",1721226,"2026-02-24T19:17:53.000Z","COMMENT","TRK-3.1.080 SUL MOD 28","","","","https://app.scopito.com/en-US/inspection/49921?image=25667014","https://www.google.com/maps/search/?api=1&query=-11.41431117,-42.15248531"
25667014,"DJI_20260211094613_0081_T.JPG","2026-02-23T14:03:07.000Z","2026-02-11T12:46:13.000Z","2026:02:11 09:46:13",640,512,-42.15248531,-11.41431117,"SES31/DJI_202602110933_001_ses31rota1/IR",29915109,"2026-02-23T18:46:51.000Z","false","Severity 1","1",-42.15252076791848,-11.414287782815109,10216,"Multi Hot Spot","","",70,"Cell",29518617,"2026-02-23T18:46:51.000Z","POLYGON((0.4086 0.7325,0.4247 0.7325,0.4247 0.668,0.4086 0.668,0.4086 0.7325))","","","","0.40937501192092896,0.7109375,44.08","0.40937501192092896,0.66796875,46.57",45.4,2.5,2884,"Fordrones01",1721227,"2026-02-24T19:18:29.000Z","COMMENT","TRK-3.1.080 SUL MOD 29","","","","https://app.scopito.com/en-US/inspection/49921?image=25667014","https://www.google.com/maps/search/?api=1&query=-11.41431117,-42.15248531"
25662682,"DJI_20260211095217_0016_T.JPG","2026-02-23T03:05:37.000Z","2026-02-11T12:52:17.000Z","2026:02:11 09:52:17",640,512,-42.15276656,-11.41409692,"SES31/DJI_202602110933_002_ses31rota1/IR",29915097,"2026-02-23T18:41:10.000Z","false","Severity 4","7",-42.152798852562825,-11.414078606624798,10201,"Open Circuit","","",65,"String",29518607,"2026-02-23T18:41:10.000Z","POLYGON((0.4593 0.7712,0.9656 0.7712,0.9656 0.6746,0.4593 0.6746,0.4593 0.7712))","","","","0.5562499761581421,0.720703125,25.74","0.6890624761581421,0.673828125,51.9",47.71,26.2,2884,"Fordrones01",1721374,"2026-02-24T19:50:17.000Z","COMMENT","TRK-3.1.076 SUL MOD 12 AO 41","","","","https://app.scopito.com/en-US/inspection/49921?image=25662682","https://www.google.com/maps/search/?api=1&query=-11.41409692,-42.15276656"
25662780,"DJI_20260211095616_0065_T.JPG","2026-02-23T03:14:33.000Z","2026-02-11T12:56:16.000Z","2026:02:11 09:56:16",640,512,-42.15304667,-11.41392753,"SES31/DJI_202602110933_002_ses31rota1/IR",29915093,"2026-02-23T18:35:00.000Z","false","Severity 4","7",-42.15300986191062,-11.413937859354093,10201,"Open Circuit","","",65,"String",29518602,"2026-02-23T18:35:00.000Z","POLYGON((0.5074 0.3521,0.5389 0.3521,0.5389 0.2695,0.5074 0.2695,0.5074 0.3521))","","","","0.5375000238418579,0.306640625,44.91","0.5078125,0.310546875,48.49",47.53,3.6,2884,"Fordrones01",1721373,"2026-02-24T19:45:15.000Z","COMMENT","TRK-3.1.073 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25662780","https://www.google.com/maps/search/?api=1&query=-11.41392753,-42.15304667"
25662780,"DJI_20260211095616_0065_T.JPG","2026-02-23T03:14:33.000Z","2026-02-11T12:56:16.000Z","2026:02:11 09:56:16",640,512,-42.15304667,-11.41392753,"SES31/DJI_202602110933_002_ses31rota1/IR",29915094,"2026-02-23T18:35:04.000Z","false","Severity 4","7",-42.153079135235735,-11.413939136535532,10201,"Open Circuit","","",65,"String",29518603,"2026-02-23T18:35:04.000Z","POLYGON((0.5042 0.7702,0.5459 0.7702,0.5459 0.6787,0.5042 0.6787,0.5042 0.7702))","","","","0.543749988079071,0.716796875,39.7","0.5140625238418579,0.748046875,47.12",45.76,7.4,2884,"Fordrones01",1721372,"2026-02-24T19:44:56.000Z","COMMENT","TRK-3.1.072 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25662780","https://www.google.com/maps/search/?api=1&query=-11.41392753,-42.15304667"
25662809,"DJI_20260211095716_0078_T.JPG","2026-02-23T03:16:33.000Z","2026-02-11T12:57:16.000Z","2026:02:11 09:57:16",640,512,-42.15318589,-11.41396322,"SES31/DJI_202602110933_002_ses31rota1/IR",29915091,"2026-02-23T18:33:54.000Z","false","Severity 4","7",-42.15314982176784,-11.413937767688935,10201,"Open Circuit","","",65,"String",29518600,"2026-02-23T18:33:54.000Z","POLYGON((0.4688 0.3462,0.505 0.3462,0.505 0.2725,0.4688 0.2725,0.4688 0.3462))","","","","0.503125011920929,0.306640625,48.22","0.47187501192092896,0.33203125,50.82",49.79,2.6,2884,"Fordrones01",1721371,"2026-02-24T19:44:32.000Z","COMMENT","TRK-3.1.071 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25662809","https://www.google.com/maps/search/?api=1&query=-11.41396322,-42.15318589"
25662809,"DJI_20260211095716_0078_T.JPG","2026-02-23T03:16:33.000Z","2026-02-11T12:57:16.000Z","2026:02:11 09:57:16",640,512,-42.15318589,-11.41396322,"SES31/DJI_202602110933_002_ses31rota1/IR",29915092,"2026-02-23T18:34:03.000Z","false","Severity 4","7",-42.15321858447369,-11.413939909114234,10201,"Open Circuit","","",65,"String",29518601,"2026-02-23T18:34:03.000Z","POLYGON((0.4625 0.7662,0.498 0.7662,0.498 0.6718,0.4625 0.6718,0.4625 0.7662))","","","","0.4625000059604645,0.71484375,48.22","0.47343748807907104,0.67578125,51.6",50.75,3.4,2884,"Fordrones01",1721370,"2026-02-24T19:44:15.000Z","COMMENT","TRK-3.1.070 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25662809","https://www.google.com/maps/search/?api=1&query=-11.41396322,-42.15318589"
25667047,"DJI_20260211100024_0116_T.JPG","2026-02-23T14:07:40.000Z","2026-02-11T13:00:24.000Z","2026:02:11 10:00:24",640,512,-42.15332542,-11.41392211,"SES31/DJI_202602110933_002_ses31rota1/IR",29915080,"2026-02-23T18:27:12.000Z","false","Severity 4","7",-42.153356115027925,-11.413941608838257,10201,"Open Circuit","","",65,"String",29518592,"2026-02-23T18:27:12.000Z","POLYGON((0.6805 0.7593,0.7135 0.7593,0.7135 0.6649,0.6805 0.6649,0.6805 0.7593))","","","","0.7124999761581421,0.7578125,49.13","0.6812499761581421,0.673828125,53.29",51.85,4.2,2884,"Fordrones01",1721368,"2026-02-24T19:42:53.000Z","COMMENT","TRK-3.1.068 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25667047","https://www.google.com/maps/search/?api=1&query=-11.41392211,-42.15332542"
25667047,"DJI_20260211100024_0116_T.JPG","2026-02-23T14:07:40.000Z","2026-02-11T13:00:24.000Z","2026:02:11 10:00:24",640,512,-42.15332542,-11.41392211,"SES31/DJI_202602110933_002_ses31rota1/IR",29915081,"2026-02-23T18:27:18.000Z","false","Severity 4","7",-42.15328775690909,-11.413941454127851,10201,"Open Circuit","","",65,"String",29518593,"2026-02-23T18:27:18.000Z","POLYGON((0.675 0.3462,0.7072 0.3462,0.7072 0.2735,0.675 0.2735,0.675 0.3462))","","","","0.706250011920929,0.306640625,49.04","0.6796875,0.328125,52.99",51.79,4,2884,"Fordrones01",1721369,"2026-02-24T19:43:11.000Z","COMMENT","TRK-3.1.069 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49921?image=25667047","https://www.google.com/maps/search/?api=1&query=-11.41392211,-42.15332542"
